id,branch,message,parent_ids,author,authored_at,committer,committed_at,commit_additions,commit_deletions,changed_files,is_bug_linked,is_fix_related,is_bug_fixing,is_refactoring,file_path,previous_file_path,file_additions,file_deletions,file_id
3f277c0055fd72c6cf2f36107d5945a95a4007b3,master,"Revert ""pin brave-core to branch 74.0.3729.61""This reverts commit 3a1cb47dcca98daad8ee9f0044f074be604b01a4.",['596d415a7fcdaca09db3418676ab19f8802627f2'],mkarolin,2019-04-07 17:06:17+00:00,mkarolin,2019-04-07 17:06:17+00:00,2,2,1,False,False,False,False,package.json,package.json,2,2,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
63564368fbf0956dd001945fd7da677dedd52b26,master,Bump version (0.65.28),['56e37af762e02f25f2a8eef50545b96023f60554'],brave-browser-releases,2019-04-08 00:00:27+00:00,brave-browser-releases,2019-04-08 00:00:27+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
63564368fbf0956dd001945fd7da677dedd52b26,master,Bump version (0.65.28),['56e37af762e02f25f2a8eef50545b96023f60554'],brave-browser-releases,2019-04-08 00:00:27+00:00,brave-browser-releases,2019-04-08 00:00:27+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
25ea970ab2c98cd31310e9d69503a0e7882ab2a5,master,Bump version (0.65.29),['63564368fbf0956dd001945fd7da677dedd52b26'],brave-browser-releases,2019-04-08 12:01:17+00:00,brave-browser-releases,2019-04-08 12:01:17+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
25ea970ab2c98cd31310e9d69503a0e7882ab2a5,master,Bump version (0.65.29),['63564368fbf0956dd001945fd7da677dedd52b26'],brave-browser-releases,2019-04-08 12:01:17+00:00,brave-browser-releases,2019-04-08 12:01:17+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
e6e87ed23e634377099286e420a672dd6921ae4a,master,Bump version (0.65.30),['25ea970ab2c98cd31310e9d69503a0e7882ab2a5'],brave-browser-releases,2019-04-08 16:00:26+00:00,brave-browser-releases,2019-04-08 16:00:26+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
e6e87ed23e634377099286e420a672dd6921ae4a,master,Bump version (0.65.30),['25ea970ab2c98cd31310e9d69503a0e7882ab2a5'],brave-browser-releases,2019-04-08 16:00:26+00:00,brave-browser-releases,2019-04-08 16:00:26+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
643d9723d147a4d63c13e12ba1b1eb30e7f6d718,master,Bump version (0.65.31),['e6e87ed23e634377099286e420a672dd6921ae4a'],brave-browser-releases,2019-04-08 20:00:27+00:00,brave-browser-releases,2019-04-08 20:00:27+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
643d9723d147a4d63c13e12ba1b1eb30e7f6d718,master,Bump version (0.65.31),['e6e87ed23e634377099286e420a672dd6921ae4a'],brave-browser-releases,2019-04-08 20:00:27+00:00,brave-browser-releases,2019-04-08 20:00:27+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
4ae2bf22653b9f4ec66f09f0aa1e5edc24b3441b,master,Bump version (0.65.32),['643d9723d147a4d63c13e12ba1b1eb30e7f6d718'],brave-browser-releases,2019-04-09 00:00:25+00:00,brave-browser-releases,2019-04-09 00:00:25+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
4ae2bf22653b9f4ec66f09f0aa1e5edc24b3441b,master,Bump version (0.65.32),['643d9723d147a4d63c13e12ba1b1eb30e7f6d718'],brave-browser-releases,2019-04-09 00:00:25+00:00,brave-browser-releases,2019-04-09 00:00:25+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
